region,date,year,month,mean_ndvi,median_ndvi,stress_share,high_health_share,valid_pixels,bbox
California Central Valley,2011-01-01,2011,1,0.42620849609375,0.4688499867916107,0.32233162662465537,0.24730208743599844,25390,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-02-01,2011,2,0.44125795364379883,0.4988499879837036,0.3056659652404333,0.2893772893772894,25662,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-03-01,2011,3,0.43648386001586914,0.4988499879837036,0.33060066827259305,0.3187116326054861,25738,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-04-01,2011,4,0.4478044807910919,0.4988499879837036,0.28996412975670616,0.3093028696194635,25648,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-05-01,2011,5,0.44069498777389526,0.4613499939441681,0.2658855692247608,0.24253075571177504,25605,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-06-01,2011,6,0.42719539999961853,0.4313499927520752,0.3018245341614907,0.2203804347826087,25760,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-07-01,2011,7,0.4247373640537262,0.42384999990463257,0.32644023413431916,0.23140018484288355,25968,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-08-01,2011,8,0.4175352454185486,0.4013499915599823,0.3495383672374823,0.23181243535225837,26103,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-09-01,2011,9,0.4077413082122803,0.3938499987125397,0.35829819854350325,0.20620927558451513,26090,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-10-01,2011,10,0.41968220472335815,0.41635000705718994,0.31920860545524393,0.20610833653476757,26030,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-11-01,2011,11,0.41730645298957825,0.41635000705718994,0.3172071933599754,0.20727021211189672,26024,"-122.8,35.0,-118.2,40.4"
California Central Valley,2011-12-01,2011,12,0.40524330735206604,0.4013499915599823,0.33635699734788793,0.1915286159049852,26017,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-01-01,2012,1,0.3842785954475403,0.3713499903678894,0.37588106151061124,0.16850903208411971,25963,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-02-01,2012,2,0.3945717513561249,0.4088500142097473,0.3697621525770017,0.18060213561543503,25941,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-03-01,2012,3,0.4066808223724365,0.4313499927520752,0.36023622047244097,0.22340589779218775,25908,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-04-01,2012,4,0.4377138614654541,0.48385000228881836,0.3074393593562614,0.28739989941583816,25849,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-05-01,2012,5,0.4378538727760315,0.4688499867916107,0.2832198761586093,0.24791354178685435,26001,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-06-01,2012,6,0.3986934423446655,0.3938499987125397,0.35075484711472144,0.1811633075331443,26098,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-07-01,2012,7,0.3935351073741913,0.3788500130176544,0.3737114389729833,0.1873155776968768,26095,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-08-01,2012,8,0.393671452999115,0.3713499903678894,0.3844178738407297,0.19391430980301985,26094,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-09-01,2012,9,0.38286691904067993,0.3638499975204468,0.39738577123581725,0.17134314627414904,26088,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-10-01,2012,10,0.37690988183021545,0.35635000467300415,0.3972644726255699,0.15294433163480325,26101,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-11-01,2012,11,0.39264947175979614,0.3788500130176544,0.3775463140902452,0.18702436774540704,26018,"-122.8,35.0,-118.2,40.4"
California Central Valley,2012-12-01,2012,12,0.43518754839897156,0.4613499939441681,0.30249151496451715,0.24186207960506018,25928,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-01-01,2013,1,0.389651894569397,0.42384999990463257,0.3737628642403691,0.18737431489294587,25361,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-02-01,2013,2,0.41717055439949036,0.45385000109672546,0.341862805822236,0.25193558377206565,25832,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-03-01,2013,3,0.4307623505592346,0.47635000944137573,0.3233201886646563,0.28377020026289335,25866,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-04-01,2013,4,0.43933236598968506,0.47635000944137573,0.30813323005422155,0.2898528272656855,25820,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-05-01,2013,5,0.40972620248794556,0.4088500142097473,0.317403378847489,0.1960965825811926,25926,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-06-01,2013,6,0.3964686691761017,0.38635000586509705,0.3571018046668455,0.18203762596268055,26099,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-07-01,2013,7,0.39402690529823303,0.3788500130176544,0.3767860563110515,0.19011683585520014,26105,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-08-01,2013,8,0.3884676694869995,0.3713499903678894,0.3864628820960699,0.18294644909216273,26106,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-09-01,2013,9,0.37799420952796936,0.35635000467300415,0.3962228011032792,0.1603585657370518,26104,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-10-01,2013,10,0.36511093378067017,0.3413499891757965,0.41729957805907175,0.14042961258151132,26070,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-11-01,2013,11,0.36605238914489746,0.3413499891757965,0.42546655402810846,0.14845249980800246,26042,"-122.8,35.0,-118.2,40.4"
California Central Valley,2013-12-01,2013,12,0.3709646463394165,0.3413499891757965,0.41283414220784226,0.1608504737693552,25962,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-01-01,2014,1,0.349468469619751,0.3113499879837036,0.475502876336821,0.14431875217173082,25901,"-122.8,35.0,-118.2,40.4"
California Central Valley,2014-02-01,2014,2,0.36988797783851624,0.3488500118255615,0.41669231953209174,0.15549484377404957,25988,"-122.8,35.0,-118.2,40.4"
